,ProductName,SoldBy,Price,Edition,Color
0,Nintendo Switch with Neon Blue and Neon Red Joy‑Con - HAC-001(-01),Nintendo,,Neon Blue and Red HAC-001(-01),Console
1,Nintendo Switch w/ Gray Joy-Con + Mario Kart 8 Deluxe (Full Game Download) - Switch,"by
    
    Nintendo",,,
2,Nintendo Switch w/ Neon Blue & Neon Red Joy-Con + Mario Kart 8 Deluxe (Full Game Download) - Switch,"by
    
    Nintendo","$
                       

                           373
                       

                               00",,
3,Nintendo Switch with Neon Blue and Neon Red Joy‑Con HAC-001 w/ Mario Kart 8 Deluxe,"by
    
    Nintendo","$
                       

                           365
                       

                               98",,
5,Nintendo Switch – Neon Red and Neon Blue Joy-Con - HAC 001 (Discontinued by Manufacturer),"by
    
    Nintendo","$
                       

                           318
                       

                               00",,
7,Nintendo Switch Lite - Turquoise,Nintendo,$196.99,Lite Console,Turquoise
11,Nintendo Switch Lite - Gray,Nintendo,$196.80,Lite Console,Gray
13,Nintendo Switch Console w/ Mario Kart 8 Deluxe (Renewed),"by
    
    Amazon Renewed","$
                       

                           329
                       

                               00",,
15,"Skywin Organizer and Stand for Nintendo Switch - Storage Stand and Organizer Compatible with Nintendo Switch Accessories - Organizes Dock, Game Cards, Joy Cons, Pro Controllers, Grip, Games, Console","by
    
    Skywin","$
                       

                           25
                       

                               00",,
17,Two Point Hospital - Nintendo Switch,"by
    
    SEGA","$
                       

                           39
                       

                               99",,
20,amFilm Tempered Glass Screen Protector for Nintendo Switch 2017 (2-Pack),amFilm,$7.99,,
22,"Carrying Storage Case for Nintendo Switch, iVoler PortableTravel All Protective Hard Messenger Bag Soft Lining 18 Games for Switch Console Pro Controller & Accessories Black",ivoler,,,
24,Genki - The Original Bluetooth Adapter for The Nintendo Switch and Switch Lite. Switch Accessories Compatible with All BT Headphones and Airpods - Low Latency with aptX Technology and BT 5.0,Genki,$49.99,,NEON STANDALONE
26,Nintendo Switch Lite - Zacian and Zamazenta Edition,"by
    
    Nintendo",,,
27,Nintendo Switch - Gray Joy-Con - HAC 001 (Discontinued by Manufacturer),"by
    
    Nintendo",,,
29,Nintendo Switch Console Diablo III Eternal Collection Edition Bundle,"by
    
    Nintendo","$
                       

                           449
                       

                               00",,
31,"Nintendo Switch Console Bundle- Pikachu & Eevee Edition with Pokemon: Let's Go, Pikachu! + Poke Ball Plus","by
    
    Nintendo","$
                       

                           410
                       

                               00",,
33,Nintendo Switch with Gray Joy‑Con - HAC-001(-01),Nintendo,$299.00,Gray HAC-001(-01),Console
35,Nintendo Switch - Animal Crossing: New Horizons Edition - Switch,"by
    
    Nintendo",,,
36,Nintendo Switch Lite - Yellow,Nintendo,$194.95,Lite Console,Yellow
38,Nintendo Switch – Neon Red and Neon Blue Joy-Con (Renewed),"by
    
    Amazon Renewed","$
                       

                           289
                       

                               95",,
40,Starter Kit Accessories 14 pcs - Complete Bundle Set for Nintendo Switch Case Gaming Console,EVORETRO,,,
42,"Ultimate Accessories Bundle compatible for Nintendo Switch - 21 in 1 Essential Kit including (Tempered Glass Screen Protector, Travel Carrying Case, Joy Con Charging Dock Station, Grip, and more)",EVORETRO,,,
44,"Switch Accessories Bundle - Orzly Essentials Pack for Nintendo switch Case & Screen Protector, Grip Case, Games Holder, Headphones - Classic Black Edition",Orzly,,,BLACK
46,"Controller Replacement for Nintendo Switch, L/R Pro Remote Wireless Controller Comfort Grips Gamepad Plug and Play Auto Connect Compatible with Nintendo Switch Console - Red and Blue",AIMOS,,,Red and blue upgrade version
